"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
2073,"a","e005048","e002372","e001359","e008869","d004044","e012958","d004770","d004044","e004746","e006968","e017617",0.737,0.055,0.681,0.073,0.646,0.084,0.624,0.091,0.7,0.067,0.6,0.1,0.686,0.036,0.624,0.049,0.584,0.056,0.56,0.061,0.644,0.044,0.533,0.067,0.661,0.027,0.595,0.037,0.554,0.042,0.528,0.046,0.617,0.033,0.5,0.05,0.635,0.018,0.566,0.024,0.523,0.028,0.496,0.03,0.589,0.022,0.467,0.033,0.891,0.109,0.854,0.146,0.832,0.168,0.817,0.183,0.867,0.133,0.8,0.2,0.584,0,0.509,0,0.461,0,0.432,0,0.533,0,0.4,0,""
2074,"bad","d012214","b005170","e014245","b002105","e013842","e019653","b005170","b005361","e014245","e013842","d005172",0,0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
2075,"a","b008903","a005952","b019123","b013565","b003760","a006931","b016203","b009701","a000662","b011236","e009080",0.58,0.336,0.543,0.403,0.512,0.447,0.501,0.473,0.467,0.4,0.5,0.5,0.562,0.26,0.519,0.318,0.484,0.354,0.47,0.376,0.444,0.311,0.467,0.4,0.553,0.223,0.507,0.275,0.47,0.307,0.455,0.328,0.433,0.267,0.45,0.35,0.544,0.185,0.495,0.232,0.456,0.261,0.44,0.28,0.422,0.222,0.433,0.3,0.635,0.562,0.616,0.661,0.596,0.726,0.592,0.764,0.533,0.667,0.6,0.8,0.526,0.109,0.47,0.146,0.428,0.168,0.409,0.183,0.4,0.133,0.4,0.2,""
2076,"a","d006677","d014727","d005741","d012910","d010507","d000119","d001270","d007109","d011120","e012611","d007436",0.708,0.836,0.746,0.82,0.77,0.808,0.784,0.802,0.733,0.8,0.8,0.8,0.611,0.781,0.661,0.76,0.693,0.743,0.712,0.737,0.644,0.733,0.733,0.733,0.562,0.754,0.618,0.73,0.655,0.711,0.676,0.704,0.6,0.7,0.7,0.7,0.513,0.726,0.576,0.7,0.616,0.679,0.64,0.671,0.556,0.667,0.667,0.667,1,1,1,1,1,1,1,1,1,1,1,1,0.416,0.672,0.491,0.64,0.539,0.615,0.568,0.605,0.467,0.6,0.6,0.6,""
2077,"a","e012026","e000426","e005737","e013253","a006733","e014617","b004809","d008733","e001639","e003974","d008505",1,0.073,1,0.085,1,0.093,1,0.098,1,0.1,1,0.1,1,0.049,1,0.057,1,0.062,1,0.065,1,0.067,1,0.067,1,0.036,1,0.042,1,0.047,1,0.049,1,0.05,1,0.05,1,0.024,1,0.028,1,0.031,1,0.033,1,0.033,1,0.033,1,0.146,1,0.17,1,0.187,1,0.195,1,0.2,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,""
2078,"b","d009750","a006992","b009534","e010067","e012443","f012842","d001022","d006871","d000314","d013041","d014522",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2079,"a","d009750","d001562","d006871","d001022","d017621","d007831","e012443","e010067","f012842","b009534","a006992",0.781,0,0.83,0,0.863,0,0.882,0,0.833,0,0.9,0,0.708,0,0.774,0,0.817,0,0.842,0,0.778,0,0.867,0,0.672,0,0.746,0,0.795,0,0.823,0,0.75,0,0.85,0,0.635,0,0.717,0,0.772,0,0.803,0,0.722,0,0.833,0,1,0,1,0,1,0,1,0,1,0,1,0,0.562,0,0.661,0,0.726,0,0.764,0,0.667,0,0.8,0,""
2080,"good","e015566","e017955","e017957","e017864","e016845","e003170","e001490","e004827","e001715","e002821","e004265",0.153,1,0.212,1,0.245,1,0.269,1,0.167,1,0.3,1,0.139,1,0.19,1,0.219,1,0.241,1,0.156,1,0.267,1,0.131,1,0.179,1,0.206,1,0.226,1,0.15,1,0.25,1,0.124,1,0.168,1,0.194,1,0.212,1,0.144,1,0.233,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0.109,1,0.146,1,0.168,1,0.183,1,0.133,1,0.2,1,""
2081,"bad","e019177","d015748","e007672","e005768","e003270","e018317","d015748","a005558","b013556","d009406","e011070",0.281,0.044,0.33,0.066,0.363,0.077,0.382,0.087,0.333,0.033,0.4,0.1,0.187,0.029,0.22,0.044,0.242,0.052,0.255,0.058,0.222,0.022,0.267,0.067,0.141,0.022,0.165,0.033,0.182,0.039,0.191,0.043,0.167,0.017,0.2,0.05,0.094,0.015,0.11,0.022,0.121,0.026,0.127,0.029,0.111,0.011,0.133,0.033,0.562,0.088,0.661,0.131,0.726,0.155,0.764,0.173,0.667,0.067,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
2082,"bad","e010478","d018299","d005837","e001961","d013608","e017379","e011411","e005664","d009209","e009682","d002417",0.117,0.712,0.15,0.626,0.171,0.575,0.184,0.54,0.133,0.667,0.2,0.5,0.078,0.693,0.1,0.602,0.114,0.547,0.123,0.51,0.089,0.644,0.133,0.467,0.058,0.684,0.075,0.59,0.085,0.533,0.092,0.494,0.067,0.633,0.1,0.45,0.039,0.675,0.05,0.577,0.057,0.519,0.061,0.479,0.044,0.622,0.067,0.433,0.234,0.766,0.301,0.699,0.341,0.659,0.369,0.631,0.267,0.733,0.4,0.6,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,""
2083,"a","e000004","e004070","e010177","e019382","e005600","d000871","d007973","d015953","e000955","e006415","b007022",0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,""
2084,"bad","e019603","b004570","d006761","e018632","e019738","e016980","b012076","e014853","b010569","e015757","b014238",0,0.434,0,0.459,0,0.469,0,0.48,0,0.4,0,0.5,0,0.319,0,0.349,0,0.364,0,0.378,0,0.289,0,0.4,0,0.261,0,0.295,0,0.312,0,0.327,0,0.233,0,0.35,0,0.203,0,0.24,0,0.259,0,0.276,0,0.178,0,0.3,0,0.781,0,0.786,0,0.783,0,0.788,0,0.733,0,0.8,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,""
2085,"good","e015566","e004265","e007763","e017955","e008869","e005468","e008869","e007763","e014293","e007633","e013794",0.58,0.391,0.543,0.393,0.512,0.392,0.501,0.394,0.467,0.367,0.5,0.4,0.562,0.26,0.519,0.262,0.484,0.261,0.47,0.263,0.444,0.244,0.467,0.267,0.553,0.195,0.507,0.197,0.47,0.196,0.455,0.197,0.433,0.183,0.45,0.2,0.544,0.13,0.495,0.131,0.456,0.131,0.44,0.131,0.422,0.122,0.433,0.133,0.635,0.781,0.616,0.786,0.596,0.783,0.592,0.788,0.533,0.733,0.6,0.8,0.526,0,0.47,0,0.428,0,0.409,0,0.4,0,0.4,0,""
2086,"b","d009750","f012842","e012443","b009534","e010067","a006992","d014907","d018376","d006871","d013041","d013061",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2087,"bad","b013180","b009119","b004379","a002668","b005963","a006931","b008115","b015237","a005601","b017754","b014660",0.343,0.307,0.408,0.301,0.45,0.291,0.475,0.291,0.4,0.233,0.5,0.3,0.307,0.234,0.372,0.244,0.414,0.246,0.439,0.252,0.356,0.178,0.467,0.267,0.288,0.197,0.354,0.216,0.396,0.223,0.422,0.232,0.333,0.15,0.45,0.25,0.27,0.161,0.336,0.188,0.378,0.2,0.404,0.212,0.311,0.122,0.433,0.233,0.453,0.526,0.515,0.47,0.558,0.428,0.581,0.409,0.533,0.4,0.6,0.4,0.234,0.088,0.301,0.131,0.341,0.155,0.369,0.173,0.267,0.067,0.4,0.2,""
2088,"bad","f005146","a005660","e008013","f006821","b003024","f005833","f005833","b014943","b002828","f001351","b002836",0.234,0.766,0.301,0.699,0.341,0.659,0.369,0.631,0.267,0.733,0.4,0.6,0.234,0.766,0.301,0.699,0.341,0.659,0.369,0.631,0.267,0.733,0.4,0.6,0.234,0.766,0.301,0.699,0.341,0.659,0.369,0.631,0.267,0.733,0.4,0.6,0.234,0.766,0.301,0.699,0.341,0.659,0.369,0.631,0.267,0.733,0.4,0.6,0.234,0.766,0.301,0.699,0.341,0.659,0.369,0.631,0.267,0.733,0.4,0.6,0.234,0.766,0.301,0.699,0.341,0.659,0.369,0.631,0.267,0.733,0.4,0.6,""
2089,"a","b009057","b008903","b003367","a004042","b004021","b019478","a002015","d014177","b005105","a003055","b005695",0.956,0.073,0.934,0.085,0.923,0.093,0.913,0.098,0.967,0.1,0.9,0.1,0.942,0.049,0.913,0.057,0.897,0.062,0.885,0.065,0.956,0.067,0.867,0.067,0.934,0.036,0.902,0.042,0.884,0.047,0.87,0.049,0.95,0.05,0.85,0.05,0.927,0.024,0.891,0.028,0.871,0.031,0.856,0.033,0.944,0.033,0.833,0.033,1,0.146,1,0.17,1,0.187,1,0.195,1,0.2,1,0.2,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,""
2090,"b","e003167","e008934","a001789","d017095","b018086","b000906","e006071","e013181","b005647","e018766","e011395",0.219,0.945,0.17,0.927,0.137,0.916,0.118,0.909,0.167,0.933,0.1,0.9,0.146,0.927,0.113,0.903,0.091,0.888,0.079,0.878,0.111,0.911,0.067,0.867,0.109,0.918,0.085,0.89,0.068,0.874,0.059,0.863,0.083,0.9,0.05,0.85,0.073,0.909,0.057,0.878,0.046,0.86,0.039,0.848,0.056,0.889,0.033,0.833,0.438,1,0.339,1,0.274,1,0.236,1,0.333,1,0.2,1,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,""
2091,"bad","d008438","e009801","e013469","e001198","d017875","e017379","e009801","e001198","e013469","e008934","e017379",0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,""
2092,"bad","b002842","d017670","d003615","e008934","d004770","b003845","e001198","b007422","b009935","d003615","e008934",0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2093,"a","b009504","a009012","a009367","b007346","a006106","b008189","b001652","a007196","a008953","b018416","b012493",1,0.172,1,0.223,1,0.255,1,0.276,1,0.2,1,0.3,1,0.114,1,0.149,1,0.17,1,0.184,1,0.133,1,0.2,1,0.086,1,0.112,1,0.127,1,0.138,1,0.1,1,0.15,1,0.057,1,0.074,1,0.085,1,0.092,1,0.067,1,0.1,1,0.343,1,0.447,1,0.509,1,0.551,1,0.4,1,0.6,1,0,1,0,1,0,1,0,1,0,1,0,""
2094,"good","e004656","e019264","e017133","e002965","e006482","e004803","e000426","e006911","e009025","e010194","e014154",1,0.872,1,0.842,1,0.823,1,0.811,1,0.833,1,0.8,1,0.83,1,0.79,1,0.764,1,0.748,1,0.778,1,0.733,1,0.808,1,0.763,1,0.734,1,0.716,1,0.75,1,0.7,1,0.787,1,0.737,1,0.704,1,0.685,1,0.722,1,0.667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.745,1,0.684,1,0.645,1,0.622,1,0.667,1,0.6,""
2095,"a","b001064","b010160","b003407","b008862","a000243","f011559","a002491","b014018","f001904","b010842","e011502",0.672,0.146,0.684,0.17,0.695,0.187,0.699,0.195,0.7,0.2,0.7,0.2,0.599,0.146,0.628,0.17,0.65,0.187,0.66,0.195,0.644,0.2,0.667,0.2,0.562,0.146,0.6,0.17,0.627,0.187,0.64,0.195,0.617,0.2,0.65,0.2,0.526,0.146,0.571,0.17,0.604,0.187,0.62,0.195,0.589,0.2,0.633,0.2,0.891,0.146,0.854,0.17,0.832,0.187,0.817,0.195,0.867,0.2,0.8,0.2,0.453,0.146,0.515,0.17,0.558,0.187,0.581,0.195,0.533,0.2,0.6,0.2,""
2096,"b","e014019","a001120","a008561","e011491","e012563","e015561","e018430","a008561","a001120","e011491","d015406",0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,""
2097,"bad","f003218","b019673","a004859","f008098","a008348","b008350","b008465","b008350","b003501","a002038","a009830",0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,""
2098,"b","a002853","e010393","b005641","b004526","e006719","a001185","a007807","a006536","b016967","a003001","a009523",0.044,0.945,0.066,0.927,0.077,0.916,0.087,0.909,0.033,0.933,0.1,0.9,0.029,0.927,0.044,0.903,0.052,0.888,0.058,0.878,0.022,0.911,0.067,0.867,0.022,0.918,0.033,0.89,0.039,0.874,0.043,0.863,0.017,0.9,0.05,0.85,0.015,0.909,0.022,0.878,0.026,0.86,0.029,0.848,0.011,0.889,0.033,0.833,0.088,1,0.131,1,0.155,1,0.173,1,0.067,1,0.2,1,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,""
2099,"a","e009438","b007292","e018269","e018137","e014772","e002778","e009801","e017154","e011607","b001050","e018137",0.682,0.325,0.692,0.396,0.702,0.44,0.704,0.468,0.733,0.367,0.7,0.5,0.577,0.246,0.589,0.308,0.603,0.345,0.605,0.37,0.644,0.267,0.6,0.4,0.524,0.206,0.538,0.264,0.553,0.297,0.556,0.321,0.6,0.217,0.55,0.35,0.471,0.167,0.486,0.219,0.503,0.25,0.506,0.272,0.556,0.167,0.5,0.3,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,0.365,0.088,0.384,0.131,0.404,0.155,0.408,0.173,0.467,0.067,0.4,0.2,""
2100,"bad","b009057","d004770","b003367","b001837","b005105","a004944","a003588","b004021","b008903","b016453","f009118",0.347,0.956,0.372,0.934,0.394,0.923,0.401,0.913,0.433,0.967,0.4,0.9,0.304,0.942,0.319,0.913,0.335,0.897,0.338,0.885,0.378,0.956,0.333,0.867,0.283,0.934,0.293,0.902,0.306,0.884,0.307,0.87,0.35,0.95,0.3,0.85,0.262,0.927,0.267,0.891,0.276,0.871,0.275,0.856,0.322,0.944,0.267,0.833,0.474,1,0.53,1,0.572,1,0.591,1,0.6,1,0.6,1,0.219,0.912,0.214,0.869,0.217,0.845,0.212,0.827,0.267,0.933,0.2,0.8,""
2101,"bad","e008019","e013903","b018381","b015528","e003377","e017154","d013529","e014224","b015528","e004260","e008448",0.69,0.263,0.65,0.28,0.621,0.294,0.607,0.299,0.6,0.3,0.6,0.3,0.635,0.248,0.59,0.258,0.557,0.268,0.541,0.27,0.533,0.289,0.533,0.267,0.608,0.241,0.56,0.247,0.525,0.256,0.508,0.256,0.5,0.283,0.5,0.25,0.58,0.234,0.53,0.236,0.492,0.243,0.475,0.241,0.467,0.278,0.467,0.233,0.854,0.307,0.83,0.345,0.813,0.372,0.805,0.385,0.8,0.333,0.8,0.4,0.526,0.219,0.47,0.214,0.428,0.217,0.409,0.212,0.4,0.267,0.4,0.2,""
2102,"good","e015948","e000294","e005948","e015330","e008198","e000475","e011055","e001794","e003270","e002063","e009968",0.901,1,0.861,1,0.839,1,0.822,1,0.9,1,0.8,1,0.869,1,0.815,1,0.785,1,0.763,1,0.867,1,0.733,1,0.852,1,0.792,1,0.758,1,0.733,1,0.85,1,0.7,1,0.836,1,0.769,1,0.731,1,0.703,1,0.833,1,0.667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.803,1,0.723,1,0.678,1,0.644,1,0.8,1,0.6,1,""
2103,"b","d014776","d002559","d005567","d004099","d013537","d001657","e003097","d014666","d005018","d008980","b009071",0.573,0.055,0.585,0.073,0.593,0.084,0.598,0.091,0.6,0.067,0.6,0.1,0.431,0.036,0.446,0.049,0.458,0.056,0.464,0.061,0.467,0.044,0.467,0.067,0.359,0.027,0.377,0.037,0.39,0.042,0.397,0.046,0.4,0.033,0.4,0.05,0.288,0.018,0.308,0.024,0.322,0.028,0.33,0.03,0.333,0.022,0.333,0.033,1,0.109,1,0.146,1,0.168,1,0.183,1,0.133,1,0.2,0.146,0,0.17,0,0.187,0,0.195,0,0.2,0,0.2,0,""
2104,"b","a007204","b019676","b004583","b008472","e006107","a002196","b013915","a005229","a004528","a007806","b019676",0.562,0.737,0.577,0.681,0.587,0.646,0.593,0.624,0.567,0.7,0.6,0.6,0.453,0.686,0.485,0.624,0.505,0.584,0.518,0.56,0.467,0.644,0.533,0.533,0.398,0.661,0.439,0.595,0.464,0.554,0.481,0.528,0.417,0.617,0.5,0.5,0.343,0.635,0.393,0.566,0.423,0.523,0.443,0.496,0.367,0.589,0.467,0.467,0.891,0.891,0.854,0.854,0.832,0.832,0.817,0.817,0.867,0.867,0.8,0.8,0.234,0.584,0.301,0.509,0.341,0.461,0.369,0.432,0.267,0.533,0.4,0.4,""
2105,"good","d007244","d012105","d007073","d013815","d002040","d000586","d000586","d007193","d000805","d000997","a002429",0.901,0.511,0.861,0.507,0.839,0.507,0.822,0.505,0.9,0.533,0.8,0.5,0.869,0.377,0.815,0.387,0.785,0.394,0.763,0.398,0.867,0.4,0.733,0.4,0.852,0.31,0.792,0.327,0.758,0.337,0.733,0.344,0.85,0.333,0.7,0.35,0.836,0.243,0.769,0.267,0.731,0.281,0.703,0.29,0.833,0.267,0.667,0.3,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,0.803,0.109,0.723,0.146,0.678,0.168,0.644,0.183,0.8,0.133,0.6,0.2,""
2106,"good","e005048","e012847","e007402","e014437","d004770","e018317","e013756","e008101","e008554","e003495","e018523",0.109,1,0.107,1,0.108,1,0.106,1,0.133,1,0.1,1,0.073,1,0.071,1,0.072,1,0.071,1,0.089,1,0.067,1,0.055,1,0.053,1,0.054,1,0.053,1,0.067,1,0.05,1,0.036,1,0.036,1,0.036,1,0.035,1,0.044,1,0.033,1,0.219,1,0.214,1,0.217,1,0.212,1,0.267,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2107,"b","f001490","f001994","a008395","f000369","a002856","b007565","f003532","a002516","a002800","f001994","f008160",0.803,0.562,0.762,0.616,0.737,0.646,0.721,0.67,0.8,0.567,0.7,0.7,0.766,0.489,0.726,0.56,0.701,0.601,0.685,0.63,0.756,0.511,0.667,0.667,0.748,0.453,0.708,0.532,0.683,0.578,0.668,0.611,0.733,0.483,0.65,0.65,0.73,0.416,0.69,0.503,0.665,0.555,0.65,0.591,0.711,0.456,0.633,0.633,0.912,0.781,0.869,0.786,0.845,0.783,0.827,0.788,0.933,0.733,0.8,0.8,0.693,0.343,0.655,0.447,0.628,0.509,0.615,0.551,0.667,0.4,0.6,0.6,""
2108,"b","e012026","d013555","b004809","d006218","e000208","d008733","e000426","e013253","e013904","e005508","e016547",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2109,"b","b010640","b014660","b012731","e016616","b006618","b006870","b004286","b002824","b003933","b004124","b001363",0.5,0.099,0.5,0.139,0.5,0.161,0.5,0.178,0.5,0.1,0.5,0.2,0.333,0.066,0.333,0.092,0.333,0.107,0.333,0.119,0.333,0.067,0.333,0.133,0.25,0.049,0.25,0.069,0.25,0.081,0.25,0.089,0.25,0.05,0.25,0.1,0.167,0.033,0.167,0.046,0.167,0.054,0.167,0.059,0.167,0.033,0.167,0.067,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
2110,"bad","b001751","d013019","d005628","d007563","d005040","e009483","d001561","d016447","e016732","b001275","e018385",0,0.292,0,0.254,0,0.23,0,0.216,0,0.267,0,0.2,0,0.195,0,0.17,0,0.154,0,0.144,0,0.178,0,0.133,0,0.146,0,0.127,0,0.115,0,0.108,0,0.133,0,0.1,0,0.097,0,0.085,0,0.077,0,0.072,0,0.089,0,0.067,0,0.584,0,0.509,0,0.461,0,0.432,0,0.533,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
2111,"good","b011136","f001904","b010488","f001501","b019571","b010239","b017011","d010857","b006113","b009209","b019571",1,0.489,1,0.532,1,0.553,1,0.572,1,0.467,1,0.6,1,0.392,1,0.447,1,0.476,1,0.5,1,0.378,1,0.533,1,0.343,1,0.404,1,0.438,1,0.464,1,0.333,1,0.5,1,0.294,1,0.362,1,0.399,1,0.428,1,0.289,1,0.467,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,""
2112,"bad","b007455","b008128","e002071","b009829","a008009","b005076","b007565","a007957","b005520","a001663","b008746",0,0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
2113,"a","a006733","b018118","e006058","e017102","a006897","b016057","e000763","b002611","e017102","b018998","e016876",0.365,0.453,0.384,0.47,0.404,0.478,0.408,0.487,0.467,0.433,0.4,0.5,0.365,0.38,0.384,0.414,0.404,0.433,0.408,0.447,0.467,0.378,0.4,0.467,0.365,0.343,0.384,0.386,0.404,0.41,0.408,0.428,0.467,0.35,0.4,0.45,0.365,0.307,0.384,0.357,0.404,0.387,0.408,0.408,0.467,0.322,0.4,0.433,0.365,0.672,0.384,0.64,0.404,0.615,0.408,0.605,0.467,0.6,0.4,0.6,0.365,0.234,0.384,0.301,0.404,0.341,0.408,0.369,0.467,0.267,0.4,0.4,""
2114,"b","d017256","b009870","e006592","d014389","d005172","d003777","d012284","d005172","b001751","b009870","d004876",0,0.307,0,0.301,0,0.291,0,0.291,0,0.233,0,0.3,0,0.234,0,0.244,0,0.246,0,0.252,0,0.178,0,0.267,0,0.197,0,0.216,0,0.223,0,0.232,0,0.15,0,0.25,0,0.161,0,0.188,0,0.2,0,0.212,0,0.122,0,0.233,0,0.526,0,0.47,0,0.428,0,0.409,0,0.4,0,0.4,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,""
2115,"a","e009585","e014617","e006275","e000956","e006459","e003874","e003944","b016714","e003690","e001794","e009603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2116,"a","e005922","e011497","e018454","e019269","e016479","f005719","e004030","e015042","e009801","e016479","e012084",0,0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
2117,"a","b019571","b010888","b006234","b019507","b010707","b011405","b000147","a000616","e010444","d008733","e000166",0.945,0.219,0.927,0.17,0.916,0.137,0.909,0.118,0.933,0.167,0.9,0.1,0.927,0.146,0.903,0.113,0.888,0.091,0.878,0.079,0.911,0.111,0.867,0.067,0.918,0.109,0.89,0.085,0.874,0.068,0.863,0.059,0.9,0.083,0.85,0.05,0.909,0.073,0.878,0.057,0.86,0.046,0.848,0.039,0.889,0.056,0.833,0.033,1,0.438,1,0.339,1,0.274,1,0.236,1,0.333,1,0.2,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,""
2118,"b","d017287","d012360","b008579","d014946","d005108","e017379","d013135","d004698","d004683","d003632","d006083",0.474,1,0.485,1,0.492,1,0.496,1,0.5,1,0.5,1,0.401,1,0.429,1,0.446,1,0.457,1,0.444,1,0.467,1,0.365,1,0.4,1,0.423,1,0.437,1,0.417,1,0.45,1,0.328,1,0.372,1,0.4,1,0.418,1,0.389,1,0.433,1,0.693,1,0.655,1,0.628,1,0.615,1,0.667,1,0.6,1,0.255,1,0.316,1,0.355,1,0.378,1,0.333,1,0.4,1,""
